Element,Name,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,N6,N7,O1,O2,O3,O4,O5,P1,P2,P3
Ti,titanium,4966,560.9,460.2,453.8,58.7,32.6,32.6,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V,vanadium,5465,626.7,519.8,512.1,66.3,37.2,37.2,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cr,chromium,5989,696.0,583.8,574.1,74.1,42.2,42.2,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mn,manganese,6539.0,769.1,649.9,638.7,82.3,47.2,47.2,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fe,iron,7112.0,844.6,719.9,706.8,91.3,52.7,52.7,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Co,cobalt,7709.0,925.1,793.2,778.1,101.0,58.9,59.9,3.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ni,nickel,8333.0,1008.6,870.0,852.7,110.8,68.0,66.2,4.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cu,copper,8979.0,1096.7,952.3,932.7,122.5,77.3,75.1,5.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zn,zinc,9659.0,1196.2,1044.9,1021.8,139.8,91.4,88.6,10.2,10.1,-,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-
Se,selenium,12658.0,1652.0,1474.3,1433.9,229.6,166.5,160.7,55.5,54.6,12.0,3.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-
Zr,zirconium,17998.0,2532.0,2307.0,2223.0,430.3,343.5,329.8,181.1,178.8,50.6,28.5,27.1,-,-,-,-,-,-,-,-,-,-,-,-
Nb,niobium,18986.0,2698.0,2465.0,2371.0,466.6,376.1,360.6,205.0,202.3,56.4,32.6,30.8,-,-,-,-,-,-,-,-,-,-,-,-
Mo,molybdenum,20000.0,2866.0,2625.0,2520.0,506.3,411.6,394.0,231.1,227.9,63.2,37.6,35.5,-,-,-,-,-,-,-,-,-,-,-,-
Ru,rubidium,22117.0,3224.0,2967.0,2838.0,586.1,483.3,461.5,284.2,280.0,75.0,46.3,43.2,-,-,-,-,-,-,-,-,-,-,-,-
Pd,palladium,24350.0,3604.0,3330.0,3173.0,671.6,559.9,532.3,340.5,335.2,87.1,55.7,50.9,2,2,-,-,-,-,-,-,-,-,-,-
Ag,silver,25514.0,3806.0,3524.0,3351.0,719.0,603.8,573.0,374.0,368.3,97.0,63.7,58.3,4.0,4.0,-,-,-,-,-,-,-,-,-,-
Sn,tin,29200.0,4465.0,4156.0,3929.0,884.7,756.5,714.6,493.2,484.9,137.1,83.6,83.6,24.9,23.9,-,-,-,-,-,-,-,-,-,-
Sb,antimony,30491.0,4698.0,4380.0,4132.0,940.0,812.7,766.4,537.5,528.2,153.2,95.6,95.6,33.3,32.1,-,-,7.0,2.0,2.0,-,-,-,-,-
Ta,tantalum,67416.0,11682.0,11136.0,9881.0,2708.0,2469.0,2194.0,1793.0,1735.0,563.4,463.4,400.9,237.9,226.4,23.5,21.6,69.7,42.2,32.7,-,-,-,-,-
Pt,platinum,78395.0,13880.0,13273.0,11564.0,3296.0,3027.0,2645.0,2202.0,2122.0,725.4,609.1,519.4,331.6,314.6,74.5,71.2,101.7,65.3,51.7,-,5.0,-,-,-
Au,gold,80725.0,14353.0,13734.0,11919.0,3425.0,3148.0,2743.0,2291.0,2206.0,762.1,642.7,546.3,353.2,335.1,87.6,83.9,107.2,74.2,57.2,5.0,18.1,3.0,1.0,1.0
Pb,lead,88005.0,15861.0,15200.0,13035.0,3851.0,3554.0,3066.0,2586.0,2484.0,891.8,761.9,643.5,434.3,412.2,141.7,136.9,147.0,106.4,83.3,20.7,-,-,-,-
